Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,specific_host,SRA Study
SRR639024,AMPLICON,477,24739660,PRJNA168470,SAMN01048332,62086239,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX210693,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N01,Homo sapiens,SRP017161
SRR639086,AMPLICON,483,25600306,PRJNA168470,SAMN01048333,64276274,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX212202,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N02,Homo sapiens,SRP017161
SRR639100,AMPLICON,499,39510042,PRJNA168470,SAMN01048334,98014114,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sra,sff","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX212203,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N03,Homo sapiens,SRP017161
SRR639154,AMPLICON,473,24393028,PRJNA168470,SAMN01048335,61897948,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sff,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX212237,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N04,Homo sapiens,SRP017161
SRR639155,AMPLICON,476,25454040,PRJNA168470,SAMN01048336,64798778,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sff,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX212238,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N05,Homo sapiens,SRP017161
SRR639157,AMPLICON,482,30836698,PRJNA168470,SAMN01048337,77847054,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX212239,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N06,Homo sapiens,SRP017161
SRR639158,AMPLICON,483,23469654,PRJNA168470,SAMN01048338,58994341,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX212240,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N07,Homo sapiens,SRP017161
SRR639159,AMPLICON,476,16975757,PRJNA168470,SAMN01048339,42673682,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sra,sff","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX212241,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N08,Homo sapiens,SRP017161
SRR639160,AMPLICON,477,25707555,PRJNA168470,SAMN01048340,65196155,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sff,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX212242,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N09,Homo sapiens,SRP017161
SRR639161,AMPLICON,475,22398551,PRJNA168470,SAMN01048341,56468162,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sra,sff","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX212243,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N10,Homo sapiens,SRP017161
SRR639294,AMPLICON,475,22500954,PRJNA168470,SAMN01048342,56749570,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX212338,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METATRANSCRIPTOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N11,Homo sapiens,SRP017161
SRR639296,AMPLICON,489,25533769,PRJNA168470,SAMN01048343,63935054,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sra,sff","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX212339,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N12,Homo sapiens,SRP017161
SRR639298,AMPLICON,488,27229377,PRJNA168470,SAMN01048344,68213922,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX212340,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N13,Homo sapiens,SRP017161
SRR639299,AMPLICON,474,23766976,PRJNA168470,SAMN01048345,59715068,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sff,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX212342,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N14,Homo sapiens,SRP017161
SRR639300,AMPLICON,477,27444589,PRJNA168470,SAMN01048346,68801405,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX212343,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N15,Homo sapiens,SRP017161
SRR639304,AMPLICON,478,25351252,PRJNA168470,SAMN01048347,64064761,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sra,sff","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX212344,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N16,Homo sapiens,SRP017161
SRR639305,AMPLICON,476,26033041,PRJNA168470,SAMN01048348,65785436,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sra,sff","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX212345,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N17,Homo sapiens,SRP017161
SRR639306,AMPLICON,502,37913108,PRJNA168470,SAMN01048349,93880575,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sra,sff","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX212346,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N18,Homo sapiens,SRP017161
SRR639307,AMPLICON,474,24886695,PRJNA168470,SAMN01048350,63034737,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX212347,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N19,Homo sapiens,SRP017161
SRR639308,AMPLICON,472,26786902,PRJNA168470,SAMN01048351,67815556,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,"sra,sff","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX212348,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,N20,Homo sapiens,SRP017161
SRR639382,AMPLICON,479,26410001,PRJNA168470,SAMN01048352,66308502,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX212408,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A01,Homo sapiens,SRP017161
SRR639383,AMPLICON,477,24292064,PRJNA168470,SAMN01048371,61047019,ARIZONA STATE UNIVERSITY/BIODESIGN INSTITUTE,public,sra,"s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX212427,454 GS FLX Titanium,fecal sample,,SINGLE,PCR,METAGENOMIC,human gut metagenome,LS454,2013-06-11T00:00:00Z,A-excl.,Homo sapiens,SRP017161
