Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR10442269,Targeted-Capture,252,607234,PRJNA589343,SAMN13281192,Metagenome or environmental,261975,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX7137140,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs23,feces,missing,HCs23,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs23,SRP229792
SRR10442270,Targeted-Capture,252,4488785,PRJNA589343,SAMN13281191,Metagenome or environmental,1409234,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX7137139,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs22,feces,missing,HCs22,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs22,SRP229792
SRR10442271,Targeted-Capture,252,19899105,PRJNA589343,SAMN13281190,Metagenome or environmental,5977046,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX7137138,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs21,feces,missing,HCs21,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs21,SRP229792
SRR10442272,Targeted-Capture,252,21093123,PRJNA589343,SAMN13281189,Metagenome or environmental,6307742,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX7137137,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs20,feces,missing,HCs20,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs20,SRP229792
SRR10442273,Targeted-Capture,252,1293234,PRJNA589343,SAMN13281188,Metagenome or environmental,462015,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX7137136,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs19,feces,missing,HCs19,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs19,SRP229792
SRR10442274,Targeted-Capture,252,20088435,PRJNA589343,SAMN13281187,Metagenome or environmental,5857485,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX7137135,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs18,feces,missing,HCs18,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs18,SRP229792
SRR10442275,Targeted-Capture,252,18999302,PRJNA589343,SAMN13281186,Metagenome or environmental,5580349,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX7137134,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs17,feces,missing,HCs17,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs17,SRP229792
SRR10442276,Targeted-Capture,252,19533468,PRJNA589343,SAMN13281185,Metagenome or environmental,5762329,GOTHENBURG UNIVERSITY,not collected,public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX7137133,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs16,feces,missing,HCs16,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs16,SRP229792
SRR10442277,Targeted-Capture,252,22663884,PRJNA589343,SAMN13281184,Metagenome or environmental,6705066,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX7137132,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs15,feces,missing,HCs15,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs15,SRP229792
SRR10442278,Targeted-Capture,252,19184892,PRJNA589343,SAMN13281183,Metagenome or environmental,5784131,GOTHENBURG UNIVERSITY,not collected,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX7137131,uncalculated,uncalculated,not collected,Homo sapiens,Illumina HiSeq 4000,HCs14,feces,missing,HCs14,SINGLE,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-12-01T00:00:00Z,HCs14,SRP229792
