Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,tmp
SRR11524137,AMPLICON,602,27086990,PRJNA624252,SAMN14572477,Metagenome or environmental,13714991,THE FIFTH AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY,2017-06-13,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8095248,uncalculated,uncalculated,missing,missing,Illumina MiSeq,missing,10,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2020-04-12T00:00:00Z,ASD-10,SRP255984,10
SRR11524138,AMPLICON,602,26215896,PRJNA624252,SAMN14572476,Metagenome or environmental,13205050,THE FIFTH AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY,2017-06-13,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX8095247,uncalculated,uncalculated,missing,missing,Illumina MiSeq,missing,9,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2020-04-12T00:00:00Z,ASD-9,SRP255984,9
SRR11524139,AMPLICON,602,24926412,PRJNA624252,SAMN14572475,Metagenome or environmental,12620834,THE FIFTH AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY,2017-06-13,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX8095246,uncalculated,uncalculated,missing,missing,Illumina MiSeq,missing,8,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2020-04-12T00:00:00Z,ASD-8,SRP255984,8
SRR11524140,AMPLICON,602,25550084,PRJNA624252,SAMN14572474,Metagenome or environmental,13018873,THE FIFTH AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY,2017-06-13,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8095245,uncalculated,uncalculated,missing,missing,Illumina MiSeq,missing,7,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2020-04-12T00:00:00Z,ASD-7,SRP255984,7
SRR11524141,AMPLICON,602,24578456,PRJNA624252,SAMN14572473,Metagenome or environmental,12445652,THE FIFTH AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY,2017-06-13,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8095244,uncalculated,uncalculated,missing,missing,Illumina MiSeq,missing,6,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2020-04-12T00:00:00Z,ASD-6,SRP255984,6
SRR11524142,AMPLICON,602,21739424,PRJNA624252,SAMN14572517,Metagenome or environmental,11558647,THE FIFTH AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY,2017-06-13,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8095243,uncalculated,uncalculated,missing,missing,Illumina MiSeq,missing,50,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2020-04-12T00:00:00Z,NT-20,SRP255984,50
SRR11524143,AMPLICON,602,20725656,PRJNA624252,SAMN14572516,Metagenome or environmental,11207278,THE FIFTH AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY,2017-06-13,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX8095242,uncalculated,uncalculated,missing,missing,Illumina MiSeq,missing,49,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2020-04-12T00:00:00Z,NT-19,SRP255984,49
SRR11524144,AMPLICON,602,26374824,PRJNA624252,SAMN14572515,Metagenome or environmental,14167222,THE FIFTH AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY,2017-06-13,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8095241,uncalculated,uncalculated,missing,missing,Illumina MiSeq,missing,48,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2020-04-12T00:00:00Z,NT-18,SRP255984,48
SRR11524145,AMPLICON,602,24603740,PRJNA624252,SAMN14572514,Metagenome or environmental,13265299,THE FIFTH AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY,2017-06-13,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8095240,uncalculated,uncalculated,missing,missing,Illumina MiSeq,missing,47,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2020-04-12T00:00:00Z,NT-17,SRP255984,47
SRR11524146,AMPLICON,602,18335114,PRJNA624252,SAMN14572513,Metagenome or environmental,9276722,THE FIFTH AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY,2017-06-13,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX8095239,uncalculated,uncalculated,missing,missing,Illumina MiSeq,missing,46,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2020-04-12T00:00:00Z,NT-16,SRP255984,46
SRR11524147,AMPLICON,602,24722936,PRJNA624252,SAMN14572512,Metagenome or environmental,12477198,THE FIFTH AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY,2017-06-13,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX8095238,uncalculated,uncalculated,missing,missing,Illumina MiSeq,missing,45,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2020-04-12T00:00:00Z,NT-15,SRP255984,45
SRR11524148,AMPLICON,602,18403742,PRJNA624252,SAMN14572511,Metagenome or environmental,9427392,THE FIFTH AFFILIATED HOSPITAL OF ZHENGZHOU UNIVERSITY,2017-06-13,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8095237,uncalculated,uncalculated,missing,missing,Illumina MiSeq,missing,44,PAIRED,PCR,METAGENOMIC,feces metagenome,ILLUMINA,2020-04-12T00:00:00Z,NT-14,SRP255984,44
